# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DiseaseCategories	DirectEvidence	OmimIDs	PubMedIDs
d008107	Carcinoma, Hepatocellular	MESH:D006528	AURKB	9212	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	AXIN1	8312	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism	114550	25822088
d008107	Carcinoma, Hepatocellular	MESH:D006528	BCL2L1	598	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism|therapeutic		10629087|11509945
d008107	Carcinoma, Hepatocellular	MESH:D006528	BCO2	83875	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	BID	637	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		15289866
d008107	Carcinoma, Hepatocellular	MESH:D006528	BIRC5	332	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism|therapeutic		16086872|20514400
d008107	Carcinoma, Hepatocellular	MESH:D006528	BMPER	168667	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	BRAF	673	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		27222248
d008107	Carcinoma, Hepatocellular	MESH:D006528	BTG2	7832	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		18393292
d008107	Carcinoma, Hepatocellular	MESH:D006528	BUB1	699	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	BUB1B	701	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	C14ORF180	400258	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	C9	735	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		19363144|28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CA2	760	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21472284
d008107	Carcinoma, Hepatocellular	MESH:D006528	CAP2	10486	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		28284560
d008107	Carcinoma, Hepatocellular	MESH:D006528	CASP8	841	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism	114550	
d008107	Carcinoma, Hepatocellular	MESH:D006528	CBR1	873	Cancer|Digestive system disease	Cancer|Digestive system disease	marker/mechanism		21056497
